id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1371839579473465346,1371839579473465346,2021-03-16 15:03:37 UTC,2021-03-16,15:03:37,+0000,1304490988677799936,axsoula,ΑχΣούλα,,"""Τα γάντια μου, τα χάπια μου κι ένα ταξί να φύγω"" η φάση του αστυνομικού τελικά. Έτσι λέει η ΕΛ.ΑΣ. Γάντια. όχι όπλο. Γάντια κρατάει. Το καταλάβατε;;; #ΝεαΣμυρνη #ΕΛΑΣ  https://t.co/qNrikksnRl",el,[],[],['https://pbs.twimg.com/media/EwnA017XIAAaYoP.jpg'],0,0,0,"['νεασμυρνη', 'ελας']",[],https://twitter.com/AxSoula/status/1371839579473465346,False,,1,https://pbs.twimg.com/media/EwnA017XIAAaYoP.jpg,,,,,,,[],,,,
1371835016091684869,1371835016091684869,2021-03-16 14:45:29 UTC,2021-03-16,14:45:29,+0000,2466426752,holmol20,Η ομορφοτ(ουιτ)έρα,,"Μ'εκείνα και με τ'άλλα, βλέπω το ΜέΡΑ25 συγκυβέρνηση. Με ποιον? Διαλέξτε... #λιγναδη #τροχαιοβουλη #ΝεαΣμυρνη #ΓΑΔΑ κλπ",el,[],[],[],0,0,0,"['λιγναδη', 'τροχαιοβουλη', 'νεασμυρνη', 'γαδα']",[],https://twitter.com/holmol20/status/1371835016091684869,False,,0,,,,,,,,[],,,,
1371834405040324608,1371834405040324608,2021-03-16 14:43:04 UTC,2021-03-16,14:43:04,+0000,1370764456981106691,christosgrigor,μπήκαν τα γίδια στο μαντρί..,," https://t.co/Dx2ztVVvKE  Απόλυτα τοξικός και επικίνδυνος. Εκλεγμένος. Φανταστείτε τι αντιλήψεις επικρατούν στην Ελ.Ασ.  Προκαλούν τις ανθρώπινες αξίες και το Κράτος Δικαιου, τον νομικό πολιτισμό. Υπεύθυνες διαχρονικά όλες οι κυβερνήσεις. Κάθαρση τώρα.  #ΝεαΣμυρνη #αστυνομικη_βια",el,[],['https://youtu.be/lWHP-MRuSnM'],[],0,0,0,"['νεασμυρνη', 'αστυνομικη_βια']",[],https://twitter.com/ChristosGrigor/status/1371834405040324608,False,,0,,,,,,,,[],,,,
1371833663382556676,1371833663382556676,2021-03-16 14:40:07 UTC,2021-03-16,14:40:07,+0000,202140100,kouti_pandoras,Kouti Pandoras,,"Δεν κρατούσε όπλο αλλά τα γάντια του ο αστυνομικός στη #ΝέαΣμύρνη, σύμφωνα με την #ΕΛΑΣ και το #Βήμα.   #ΓΑΔΑ  https://t.co/PdYat1s9z2",el,[],['https://www.koutipandoras.gr/article/bima-biastike-na-baftisei-gantia-oplo-prin-kan-oloklirothei-i-ereyna'],[],1,2,10,"['νέασμύρνη', 'ελας', 'βήμα', 'γαδα']",[],https://twitter.com/Kouti_Pandoras/status/1371833663382556676,False,,0,,,,,,,,[],,,,
1371833663273451526,1371833663273451526,2021-03-16 14:40:07 UTC,2021-03-16,14:40:07,+0000,526374412,hotdoc_mag,Hot Doc,,"Δεν κρατούσε όπλο αλλά τα γάντια του ο αστυνομικός στη #ΝέαΣμύρνη, σύμφωνα με την #ΕΛΑΣ και το #Βήμα.   #ΓΑΔΑ  https://t.co/pecAtu2QBD",el,[],['https://www.koutipandoras.gr/article/bima-biastike-na-baftisei-gantia-oplo-prin-kan-oloklirothei-i-ereyna'],[],0,1,1,"['νέασμύρνη', 'ελας', 'βήμα', 'γαδα']",[],https://twitter.com/hotdoc_mag/status/1371833663273451526,False,,0,,,,,,,,[],,,,
1371831371627438086,1371831371627438086,2021-03-16 14:31:01 UTC,2021-03-16,14:31:01,+0000,870607772,_urbanaki_,Urbanaki,,Ένα πράγμα με στενοχωρεί με αυτή την κυβέρνηση:   Οτι άφησα την οικογένεια και τους φίλους μου στην Ελλάδα...  #ΓΑΔΑ #ποναω #antireport #μμε_ξεφτιλες #αστυνομικη_βια #BoycottGreekMedia #αστυνομοκρατια #Νεα_Σμυρνη #τροχαιο_βουλη #ΝΔ_Χουντα #κυμπουροπουλος,el,[],[],[],0,1,7,"['γαδα', 'ποναω', 'antireport', 'μμε_ξεφτιλες', 'αστυνομικη_βια', 'boycottgreekmedia', 'αστυνομοκρατια', 'νεα_σμυρνη', 'τροχαιο_βουλη', 'νδ_χουντα', 'κυμπουροπουλος']",[],https://twitter.com/_urbanaki_/status/1371831371627438086,False,,0,,,,,,,,[],,,,
1371828776246591492,1371813764459331587,2021-03-16 14:20:42 UTC,2021-03-16,14:20:42,+0000,468865540,c_mandas,Costas Mandas,, https://t.co/IbNddxH1Za τι κρατάει ο Ναπολεον? #αστυνομικη_βια #αστυνομοκρατια #ΝεαΣμυρνη,el,[],['https://www.efsyn.gr/politiki/paraskinia/285774_ti-kratoyse-o-astynomikos-sti-n-smyrni-ma-ta-gantia-toy-bre-koyta'],[],0,0,0,"['αστυνομικη_βια', 'αστυνομοκρατια', 'νεασμυρνη']",[],https://twitter.com/c_mandas/status/1371828776246591492,False,,0,,,,,,,,[],,,,
1371828738455928837,1371828738455928837,2021-03-16 14:20:33 UTC,2021-03-16,14:20:33,+0000,870607772,_urbanaki_,Urbanaki,,Πήγα μέχρι την τουαλέτα. Ποιο σκάνδαλο ξέσπασε; #ΓΑΔΑ #ποναω #antireport #μμε_ξεφτιλες #αστυνομικη_βια #BoycottGreekMedia #αστυνομοκρατια #Νεα_Σμυρνη #τροχαιο_βουλη #ΝΔ_Χουντα #κυμπουροπουλος #ειδική_άδεια,el,[],[],[],0,0,7,"['γαδα', 'ποναω', 'antireport', 'μμε_ξεφτιλες', 'αστυνομικη_βια', 'boycottgreekmedia', 'αστυνομοκρατια', 'νεα_σμυρνη', 'τροχαιο_βουλη', 'νδ_χουντα', 'κυμπουροπουλος', 'ειδική_άδεια']",[],https://twitter.com/_urbanaki_/status/1371828738455928837,False,,0,,,,,,,,[],,,,
1371827473739091968,1371827473739091968,2021-03-16 14:15:31 UTC,2021-03-16,14:15:31,+0000,1364296685653024773,beimanavis,𝐛𝐞𝐢𝐦𝐚𝐧𝐚𝐯𝐢𝐬,,"Ανησυχώ... Περάσαμε #Νεα_Σμυρνη #τροχαιοβουλη και #ειδικη_αδεια αλλά η #ΝΔ_απατεωνες ακόμα δεν βγήκε μπροστά με γκαζάκια στον ΣΚΑΪ, μπογιές στον Πορτοσάλτε και τσιγάρα Πολάκη. Τι φάση? #εκλογές_τώρα?",el,[],[],[],0,0,2,"['νεα_σμυρνη', 'τροχαιοβουλη', 'ειδικη_αδεια', 'νδ_απατεωνες', 'εκλογές_τώρα']",[],https://twitter.com/beimanavis/status/1371827473739091968,False,,0,,,,,,,,[],,,,
1371826891489955843,1371822298374750209,2021-03-16 14:13:12 UTC,2021-03-16,14:13:12,+0000,255938834,rom_leola,LeoLa,,Το έχουμε ότι με τα γεγονότα στη #Νεα_Σμυρνη και τον τραυματισμό του μπάτσου στήνεται προγκρόμ πολιτικών διώξεων? Καθεστώς #ΝΔ_Χουντα,el,[],[],[],0,4,2,"['νεα_σμυρνη', 'νδ_χουντα']",[],https://twitter.com/Rom_LeoLa/status/1371826891489955843,False,,0,,,,,,,,[],,,,
